disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,ia_validRegistrations,n_i,fema_per_capita,fema_per_applicant,x_i,pct_need_met,per_applicant_alloc
4332,TX,Jasper County,4644882.08,1.4285714285714286,6635545.828571429,35580.0,4278.0,1551.0859814332466,130.54755705452502,1085.7601870032727,2518161.9233955774,37.94958227178297,588.6306506301022
4332,TX,Jefferson County,180249391.35,1.4285714285714286,257499130.5,255889.0,66942.0,3846.60049744555,704.404610397477,2692.620348211885,193478022.69145092,75.13734990707121,2890.2336752928045
4332,TX,Karnes County,252495.99,1.4285714285714286,360708.5571428571,15590.0,383.0,941.7977993286088,16.196022450288645,659.2584595300261,36070.85571428571,10.0,94.17977993286087
4332,TX,Kleberg County,430586.58,1.4285714285714286,615123.6857142857,30756.0,1354.0,454.3010972779067,14.00008388607101,318.01076809453474,61512.368571428575,10.0,45.43010972779068
4332,TX,Lavaca County,140529.28,1.4285714285714286,200756.11428571428,20015.0,418.0,480.2777853725222,7.021198101423932,336.19444976076556,20075.61142857143,10.0,48.027778537252225
4332,TX,Lee County,293066.43999999994,1.4285714285714286,418666.3428571428,17104.0,210.0,1993.64925170068,17.13438026192703,1395.554476190476,216600.6318829581,51.73585973135331,1031.4315803950387
4332,TX,Liberty County,30050158.82,1.4285714285714286,42928798.31428572,83648.0,10522.0,4079.908602384121,359.2453952276205,2855.936021668884,32778656.208865393,76.35586714747943,3115.249592175004
4332,TX,Matagorda County,5726215.05,1.4285714285714286,8180307.214285715,36848.0,9732.0,840.5576669015326,155.40097291576205,588.3903668310727,818030.7214285715,10.0,84.05576669015326
4332,TX,Montgomery County,39695644.09,1.4285714285714286,56708062.98571429,571542.0,19176.0,2957.241499046428,69.45359061976198,2070.069049332499,38213589.29393019,67.38651839255527,1992.782086667198
4332,TX,Newton County,4129473.18,1.4285714285714286,5899247.4,13909.0,1988.0,2967.4282696177065,296.89216909914444,2077.1997887323946,3994536.9338811035,67.71265320862967,2009.3244134210781
4332,TX,Nueces County,18473120.83,1.4285714285714286,26390172.61428571,361328.0,50516.0,522.4121588068277,51.12562776756852,365.6885111647794,2639017.2614285713,10.0,52.24121588068278
4332,TX,Orange County,127268105.94,1.4285714285714286,181811579.9142857,85056.0,28562.0,6365.505913951604,1496.2860461343114,4455.854139766123,154463383.6101728,84.95794584866042,5408.0030673682795
4332,TX,Polk County,3167568.47,1.4285714285714286,4525097.814285715,48938.0,2234.0,2025.5585560813408,64.72615288732682,1417.8909892569384,2384559.8490773607,52.696316122699386,1067.3947399630083
