disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated,ia_validRegistrations,ia_totalApprovedIhp,ia_adjustedNeed,denial_multiplier,combined_need,combined_fema_actual
4337,Irma – Florida,FL,Lee County,140504877.98,29767557.45327117,170272435.43327117,128520103.41,28074074.053493448,156594177.46349344,125234.0,51471509.74,73530728.2,1.4285714285714286,243803163.63327116,208065687.20349345
4337,Irma – Florida,FL,Leon County,5821997.12,1233456.3486617769,7055453.468661777,5413133.96,1163284.7246013144,6576418.684601314,0.0,0.0,0.0,0.0,7055453.468661777,6576418.684601314
4337,Irma – Florida,FL,Levy County,2834355.13,600490.391424408,3434845.521424408,2614770.75,566328.3507128174,3181099.100712817,4283.0,1285485.24,1836407.4857142856,1.4285714285714286,5271253.007138694,4466584.340712817
4337,Irma – Florida,FL,Liberty County,45431.12,9625.09981296848,55056.21981296848,44802.41,9077.525603023532,53879.935603023536,0.0,0.0,0.0,0.0,55056.21981296848,53879.935603023536
4337,Irma – Florida,FL,Madison County,1442224.33,305551.637928838,1747775.967928838,1308888.75,288168.73281747097,1597057.482817471,0.0,0.0,0.0,0.0,1747775.967928838,1597057.482817471
4337,Irma – Florida,FL,Manatee County,23947236.63,5073494.617973867,29020731.247973867,22170825.34,4784862.306509018,26955687.646509018,30821.0,10399445.82,14856351.171428572,1.4285714285714286,43877082.419402435,37355133.466509014
4337,Irma – Florida,FL,Marion County,37108018.97,7861756.136493613,44969775.106493615,33824935.91,7414498.966295743,41239434.87629574,48635.0,18957889.65,27082699.5,1.4285714285714286,72052474.60649362,60197324.52629574
4337,Irma – Florida,FL,Martin County,19873983.91,4210529.672503772,24084513.582503773,18002139.17,3970991.6413485454,21973130.811348543,8219.0,2608734.09,3726762.9857142856,1.4285714285714286,27811276.56821806,24581864.901348542
4337,Irma – Florida,FL,Miami-Dade County,480753482.93,101853096.701853,582606579.631853,440768190.08,96058649.88668144,536826839.9666814,596034.0,223299698.62,318999569.4571429,1.4285714285714286,901606149.0889959,760126538.5866814
4337,Irma – Florida,FL,Monroe County,164713084.26,34896341.461632185,199609425.72163215,151497004.64000002,32911080.3238644,184408084.9638644,39479.0,66865217.900000006,95521739.85714287,1.4285714285714286,295131165.57877505,251273302.8638644
4337,Irma – Florida,FL,Nassau County,10706568.22,2268308.326359911,12974876.546359912,9849494.06,2139263.727981351,11988757.787981352,6391.0,3010929.84,4301328.342857143,1.4285714285714286,17276204.889217056,14999687.627981352
4337,Irma – Florida,FL,Okaloosa County,23244.5,4924.611865226871,28169.11186522687,23244.5,4644.449528857763,27888.949528857764,0.0,0.0,0.0,0.0,28169.11186522687,27888.949528857764
4337,Irma – Florida,FL,Okeechobee County,3205491.27,679119.8064971564,3884611.076497156,2918966.18,640484.5197233398,3559450.69972334,5255.0,2199480.82,3142115.457142857,1.4285714285714286,7026726.533640013,5758931.51972334
4337,Irma – Florida,FL,Orange County,83587438.39,17708950.112040013,101296388.50204,76059403.85,16701483.74234175,92760887.59234177,162422.0,47857927.81,68368468.30000001,1.4285714285714286,169664856.80204,140618815.40234178
4337,Irma – Florida,FL,Osceola County,13545396.87,2869746.483908405,16415143.353908408,12554164.9,2706485.926178792,15260650.826178793,36527.0,10793412.12,15419160.17142857,1.4285714285714286,31834303.52533698,26054062.946178794
4337,Irma – Florida,FL,Palm Beach County,120857986.71,25605139.941039708,146463126.65103972,111622930.24,24148457.46021456,135771387.70021456,158081.0,56678065.39,80968664.84285715,1.4285714285714286,227431791.49389687,192449453.09021455
