state,county,population,d_i,n_i,ia_totalApprovedIhp,fema_per_capita,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_capita_alloc
PR,Carolina,160905.0,74638809.075,463.86879882539387,29855523.63,185.54751953015753,1,[4339],0.0,0,0.0,0.0
PR,Catano,24532.0,22528078.225,918.3139664519812,9011231.29,367.3255865807924,2,"[4336, 4339]",22528078.225,1,100.0,918.3139664519812
PR,Cayey,43477.0,53209837.25,1223.8617487407134,21283934.9,489.5446994962854,1,[4339],53209837.25,1,100.0,1223.8617487407134
PR,Ceiba,11961.0,14181535.175,1185.6479537664075,5672614.069999999,474.2591815065629,1,[4339],14181535.175,1,100.0,1185.6479537664075
PR,Ciales,17539.0,38111658.025000006,2172.9664191230972,15244663.21,869.1865676492389,1,[4339],38111658.025000006,1,100.0,2172.9664191230972
PR,Cidra,41094.0,45685720.05,1111.7369944517447,18274288.02,444.6947977806979,1,[4339],45685720.05,1,100.0,1111.7369944517447
PR,Coamo,36250.0,42675174.55,1177.2461944827585,17070069.82,470.89847779310344,1,[4339],42675174.55,1,100.0,1177.2461944827585
PR,Comerio,19502.0,44327658.875,2272.980149471849,17731063.55,909.1920597887397,1,[4339],44327658.875,1,100.0,2272.980149471849
PR,Corozal,35371.0,64071933.575,1811.425562607786,25628773.43,724.5702250431144,1,[4339],64071933.575,1,100.0,1811.425562607786
PR,Culebra,1824.0,4122047.825,2259.894640899123,1648819.13,903.9578563596491,2,"[4336, 4339]",4122047.825,1,100.0,2259.894640899123
PR,Dorado,36721.0,43764101.9,1191.8003839764713,17505640.759999998,476.72015359058844,2,"[4336, 4339]",43764101.9,1,100.0,1191.8003839764713
PR,Fajardo,33408.0,22921832.7,686.1180765086207,9168733.08,274.4472306034483,3,"[4336, 4337, 4339]",22921832.7,1,100.0,686.1180765086207
PR,Florida,12058.0,16150752.025,1339.4221284624316,6460300.81,535.7688513849725,1,[4339],16150752.025,1,100.0,1339.4221284624316
PR,Guanica,15372.0,11135565.75,724.4057864949258,4454226.3,289.7623145979703,1,[4339],11135565.75,1,100.0,724.4057864949258
PR,Guayama,39225.0,64461069.500000015,1643.3669725940092,25784427.800000004,657.3467890376037,2,"[4337, 4339]",64461069.5,1,99.99999999999997,1643.366972594009
PR,Guayanilla,18798.0,16545886.15,880.1939647834877,6618354.46,352.077585913395,1,[4339],16545886.15,1,100.0,880.1939647834877
PR,Guaynabo,91928.0,55213430.650000006,600.6160326559917,22085372.26,240.24641306239667,1,[4339],55213430.65,1,99.99999999999999,600.6160326559916
PR,Gurabo,42119.0,31508223.0,748.0762363778817,12603289.2,299.2304945511527,1,[4339],31508223.0,1,100.0,748.0762363778817
PR,Hatillo,39540.0,33355615.85,843.5917008093071,13342246.34,337.4366803237228,1,[4339],18412857.514628623,1,55.20167157887634,465.6767201474108
PR,Hormigueros,16131.0,6820513.75,422.8202684272519,2728205.5,169.12810737090075,1,[4339],0.0,0,0.0,0.0
PR,Humacao,53084.0,83064522.25,1564.775115854118,33225808.9,625.9100463416472,2,"[4337, 4339]",83064522.25,1,100.0,1564.775115854118
PR,Isabela,43711.0,33176349.2,758.9931413145432,13270539.68,303.5972565258173,1,[4339],33176349.2,1,100.0,758.9931413145432
PR,Jayuya,15334.0,23604811.05,1539.377269466545,9441924.42,615.750907786618,1,[4339],23604811.05,1,100.0,1539.377269466545
PR,Juana Diaz,47816.0,56406583.75,1179.6591883469969,22562633.5,471.8636753387987,2,"[4337, 4339]",56406583.75,1,100.0,1179.6591883469969
PR,Juncos,38064.0,42797928.075,1124.3675933953343,17119171.23,449.7470373581337,1,[4339],42797928.075,1,100.0,1124.3675933953343
PR,Lajas,24005.0,11550763.900000002,481.18158300354105,4620305.5600000005,192.4726332014164,1,[4339],0.0,0,0.0,0.0
PR,Lares,28822.0,21321901.825000003,739.778704635348,8528760.73,295.9114818541392,1,[4339],21321901.825000003,1,100.0,739.778704635348
PR,Las Marias,9181.0,9447589.2,1029.0370547870602,3779035.68,411.6148219148241,1,[4339],9447589.2,1,100.0,1029.0370547870602
PR,Las Piedras,36239.0,39038187.025,1077.2423914843125,15615274.81,430.896956593725,2,"[4337, 4339]",16875658.66142202,1,43.22859217466957,465.67672014741083
PR,Loiza,25441.0,36300109.65,1426.8350163122518,14520043.86,570.7340065249007,2,"[4336, 4339]",36300109.65,1,100.0,1426.8350163122518
PR,Luquillo,18432.0,14420666.649999999,782.3712375217013,5768266.659999999,312.94849500868054,2,"[4336, 4339]",8583353.305757076,1,59.52119630861225,465.6767201474108
PR,Manati,40805.0,41287845.1,1011.8329886043377,16515138.04,404.73319544173506,1,[4339],41287845.1,1,100.0,1011.8329886043377
PR,Maricao,5156.0,6919392.375,1342.0078306826997,2767756.95,536.80313227308,1,[4339],6919392.375,1,100.0,1342.0078306826997
PR,Maunabo,11050.0,21968841.525,1988.130454751131,8787536.61,795.2521819004525,1,[4339],5145727.75762889,1,23.422845268254946,465.67672014741083
