disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4337,FL,Okeechobee County,3469.0,2035784.28,878.0,1703911.2799999998,952950.11,353958.0,1786.0,515.0,495569.54,0.0,216202.0,276078.49,2199480.82,5255.0,2035784.28
4337,FL,Orange County,68452.0,15965945.92,16268.0,20745517.85,6297488.04,8498205.129999999,93970.0,27296.0,27112409.96,0.0,15599008.0,11447764.94,47857927.81,162422.0,15965945.92
4337,FL,Osceola County,19645.0,7703591.16,3488.0,6014246.26,3097863.72,1542892.0,16882.0,4315.0,4779165.86,0.0,2521909.83,2222652.76,10793412.120000001,36527.0,7703591.16
4337,FL,Palm Beach County,69771.0,10862927.38,18675.0,24380031.92,4392083.54,13184912.0,88310.0,27020.0,32298033.47,499.5,21217414.0,11022824.95,56678065.39,158081.0,10862927.38
4337,FL,Pasco County,24484.0,6238245.27,6633.0,9778309.93,3410493.07,4101642.0,23031.0,6751.0,6865986.65,0.0,4088439.8,2758698.43,16644296.58,47515.0,6238245.27
4337,FL,Pinellas County,69755.0,7236683.92,20427.0,21983939.24,2997939.9,12920384.0,75268.0,24038.0,23843257.51,0.0,15028750.0,8714135.55,45827196.75,145023.0,7236683.92
4337,FL,Polk County,55550.0,22580813.86,15622.0,24731128.07,11076602.69,7622980.0,47287.0,16003.0,15456172.93,0.0,7871929.5,7524836.600000001,40187301.0,102837.0,22580813.86
4337,FL,Putnam County,8648.0,4734383.15,2996.0,5121814.51,2608198.75,1505105.0,5353.0,1878.0,1644447.07,0.0,836645.0,804364.7899999999,6766261.58,14001.0,4734383.15
4337,FL,Sarasota County,16913.0,2970653.9,4599.0,5954715.25,1545782.94,2915564.0,13686.0,4157.0,4409615.0,10499.5,2785461.0,1602002.42,10364330.25,30599.0,2970653.9
4337,FL,Seminole County,27655.0,6620947.41,6998.0,9595682.42,3060747.83,4413938.0,29304.0,10201.0,10565801.11,0.0,6872665.0,3648084.31,20161483.53,56959.0,6620947.41
