disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated
4338,Irma – Georgia,GA,Carroll County,338142.35000000003,51801.35693721295,389943.70693721296,263912.44,45268.22145261759,309180.6614526176
4338,Irma – Georgia,GA,Charlton County,769794.72,117927.88173117593,887722.6017311759,587051.3,103054.93487584667,690106.2348758467
4338,Irma – Georgia,GA,Chatham County,7727667.12,1183831.7287825213,8911498.84878252,6010081.0200000005,1034528.0515743489,7044609.071574349
4338,Irma – Georgia,GA,Chattahoochee County,21907.0,3356.019517885068,25263.01951788507,16430.25,2932.7616826537505,19363.01168265375
4338,Irma – Georgia,GA,Cherokee County,97459.6,14930.219555633888,112389.81955563389,80596.70999999999,13047.23515254309,93643.94515254308
4338,Irma – Georgia,GA,Clarke County,529033.51,81044.72475351465,610078.2347535146,430239.91000000003,70823.44487916281,501063.35487916286
4338,Irma – Georgia,GA,Clay County,24470.74,3748.7689349107986,28219.508934910802,19113.61,3275.9779348236843,22389.587934823685
4338,Irma – Georgia,GA,Clayton County,457507.75,70087.41217801078,527595.1621780108,383104.88,61248.057639892795,444352.9376398928
4338,Irma – Georgia,GA,Clinch County,512338.42,78487.13823355081,590825.5582335507,390278.69,68588.4186208684,458867.1086208684
4338,Irma – Georgia,GA,Cobb County,33657.83,5156.175396432994,38814.00539643299,26750.72,4505.8836967760935,31256.603696776096
4338,Irma – Georgia,GA,Coffee County,606348.67,92888.93829203691,699237.6082920369,482414.87,81173.87801634472,563588.7480163447
4338,Irma – Georgia,GA,Colquitt County,1812865.5999999999,277720.01355285634,2090585.6135528563,1386234.1500000001,242694.24236459125,1628928.3923645914
4338,Irma – Georgia,GA,Columbia County,294903.33999999997,45177.40288170431,340080.7428817043,241944.43,39479.67387769256,281424.10387769254
4338,Irma – Georgia,GA,Cook County,499749.62,76558.61043390907,576308.2304339091,410074.11,66903.11482433799,476977.224824338
4338,Irma – Georgia,GA,Coweta County,1475837.52,226089.35602077394,1701926.876020774,1127800.03,197575.19187833744,1325375.2218783374
4338,Irma – Georgia,GA,Crawford County,17670.24,2706.973584959759,20377.21358495976,14744.71,2365.572775610335,17110.282775610336
4338,Irma – Georgia,GA,Crisp County,567558.1799999999,86946.47051697296,654504.6505169729,439981.23,75980.86835170037,515962.09835170035
4338,Irma – Georgia,GA,Dawson County,77233.65000000001,11831.726700940528,89065.37670094054,65550.79000000001,10339.521127105074,75890.31112710509
4338,Irma – Georgia,GA,DeKalb County,4374557.569999999,670155.6848053989,5044713.254805398,3464312.65,585636.3180654084,4049948.968065408
4338,Irma – Georgia,GA,Decatur County,252832.78,38732.448278684504,291565.2282786845,204689.33,33847.55052279296,238536.88052279296
4338,Irma – Georgia,GA,Dodge County,414924.45999999996,63563.91044907665,478488.37044907664,311193.35,55547.293444278024,366740.643444278
4338,Irma – Georgia,GA,Dooly County,435617.47000000003,66733.95406270659,502351.42406270665,327373.26000000007,58317.53431828045,385690.79431828053
4338,Irma – Georgia,GA,Dougherty County,868306.3,133019.25824177513,1001325.5582417751,698664.25,116243.00202888814,814907.2520288881
4338,Irma – Georgia,GA,Douglas County,17909.86,2743.6819154877007,20653.5419154877,13432.39,2397.6514880948143,15830.041488094814
4338,Irma – Georgia,GA,Early County,67617.65999999999,10358.615361013211,77976.2753610132,55486.46,9052.19712049615,64538.65712049615
4338,Irma – Georgia,GA,Echols County,144262.91,22100.202751033776,166363.11275103377,110570.61,19312.947216694505,129883.5572166945
4338,Irma – Georgia,GA,Effingham County,352354.03,53978.50010889035,406332.5301088904,273540.28,47170.78549836263,320711.06549836264
4338,Irma – Georgia,GA,Elbert County,55462.92,8496.582920477385,63959.50292047738,47143.48,7425.002354685276,54568.48235468528
4338,Irma – Georgia,GA,Emanuel County,608283.65,93185.36549095584,701469.0154909559,469291.02,81432.92011251039,550723.9401125105
4338,Irma – Georgia,GA,Evans County,259828.81,39804.19763860186,299633.0076386019,200268.25,34784.13192210351,235052.38192210352
4338,Irma – Georgia,GA,Fayette County,300427.20999999996,46023.62625935801,346450.836259358,253582.47999999998,40219.1724067454,293801.65240674536
4338,Irma – Georgia,GA,Forsyth County,2296456.62,351803.22448059404,2648259.844480594,1738855.5999999999,307434.15260019834,2046289.7526001981
4338,Irma – Georgia,GA,Franklin County,117303.1,17970.12339016862,135273.22339016863,91723.3,15703.749346624421,107427.04934662442
4338,Irma – Georgia,GA,Fulton County,3450697.5,528625.9259742188,3979323.4259742186,2728088.0,461956.1512954348,3190044.1512954347
4338,Irma – Georgia,GA,Gilmer County,41271.92,6322.607799360529,47594.52779936053,33299.05,5525.206808123019,38824.25680812302
4338,Irma – Georgia,GA,Glascock County,21661.85,3318.4640249006557,24980.314024900654,18412.57,2899.9426509970854,21312.512650997087
4338,Irma – Georgia,GA,Glynn County,18700468.97,2864798.414065097,21565267.384065095,14131808.620000001,2503492.894639679,16635301.51463968
4338,Irma – Georgia,GA,Gordon County,43149.06,6610.174261121736,49759.23426112173,36471.23,5776.505674466045,42247.73567446605
4338,Irma – Georgia,GA,Grady County,470500.39,72077.80581606503,542578.1958160651,364069.62,62987.424816982966,427057.04481698293
4338,Irma – Georgia,GA,Greene County,138180.38,21168.396050065072,159348.77605006506,111820.17,18498.659047726054,130318.82904772606
4338,Irma – Georgia,GA,Gwinnett County,2626266.89,402328.15730201843,3028595.0473020184,2153618.99,351586.93127375876,2505205.921273759
4338,Irma – Georgia,GA,Habersham County,4045463.93,619740.535353085,4665204.465353085,3093884.75,541579.4769919137,3635464.2269919137
