disasterNumber,state,county_clean,validRegistrations,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount
4339,PR,Florida,1013,440,909416.6,0.0,86437.0,822979.6
4339,PR,Guanica,1386,552,609359.74,0.0,62347.0,547012.74
4339,PR,Guayama,3294,1583,3027529.33,13678.5,341321.0,2672529.83
4339,PR,Guayanilla,1367,567,751976.97,11145.31,76960.0,663871.6599999999
4339,PR,Guaynabo,8912,3515,4179503.4,0.0,852783.83,3324673.61
4339,PR,Gurabo,2796,1264,1926700.5999999999,0.0,302613.0,1623236.16
4339,PR,Hatillo,2684,1033,1405485.8599999999,32150.0,142665.0,1230670.8599999999
4339,PR,Hormigueros,1381,462,493185.66,0.0,62775.0,430410.66
4339,PR,Humacao,4768,2589,5329446.1,4458.9,685778.82,4635377.149999999
4339,PR,Isabela,3224,1140,1620865.8100000003,744.02,185341.0,1431171.8000000003
4339,PR,Jayuya,1386,507,1062806.97,0.0,169352.0,893454.97
4339,PR,Juana Diaz,3113,1427,2466719.92,588.0,363196.0,2102935.92
4339,PR,Juncos,3261,1774,2896529.44,0.0,332452.0,2564077.44
4339,PR,Lajas,1753,600,615067.96,0.0,53513.0,561554.96
4339,PR,Lares,2386,811,1369771.84,0.0,166482.0,1203289.84
4339,PR,Las Marias,767,297,643884.72,0.0,70963.0,572921.72
4339,PR,Las Piedras,2801,1434,2509761.0300000003,0.0,416993.0,2092768.0299999998
4339,PR,Loiza,1669,899,1444340.47,1314.78,237820.0,1205205.69
4339,PR,Luquillo,1589,754,1049981.08,0.0,150487.0,892651.06
4339,PR,Manati,4073,1840,2723029.63,0.0,371011.0,2352018.63
4339,PR,Maricao,435,198,454818.07,0.0,67504.0,387314.07
4339,PR,Maunabo,766,401,850232.1799999999,0.0,109677.0,740555.1799999999
4339,PR,Mayaguez,10395,3520,3971364.5,1504.3,438925.0,3529906.15
4339,PR,Moca,2556,881,1405686.87,0.0,144574.0,1261112.87
4339,PR,Morovis,2214,1178,2270696.52,23638.42,330070.0,1916988.1
4339,PR,Naguabo,1972,1173,2332765.6300000004,0.0,326809.0,2005956.63
4339,PR,Naranjito,2235,1148,2455804.05,0.0,410436.0,2044748.46
4339,PR,Orocovis,1733,974,2025919.4600000002,667.46,247081.0,1778171.0000000002
4339,PR,Patillas,1304,653,1169804.9700000002,589.64,169677.0,999538.33
4339,PR,Penuelas,1344,536,816985.12,0.0,97455.0,719530.12
4339,PR,Ponce,16743,6805,7504979.2,2494.85,1191881.0,6310603.35
4339,PR,Quebradillas,2041,738,831524.1799999999,0.0,98451.0,733073.1799999999
4339,PR,Rincon,1073,382,486762.12,0.0,61841.0,424921.12
