disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,ia_validRegistrations,adjusted_applicants,fema_per_capita,fema_per_applicant
4337,FL,Union County,469412.49,1.4285714285714286,670589.2714285714,15455.0,355.6155227272727,1320.0,1885.7142857142858,30.37285603364607,248.9308659090909
4337,FL,Volusia County,24976178.31,1.4285714285714286,35680254.72857143,538755.0,401.5075444490885,62206.0,88865.71428571429,46.35906545646908,281.05528111436195
4337,GA,Bulloch County,0.0,1.4285714285714286,0.0,76046.0,0.0,2.0,2.857142857142857,0.0,0.0
4337,GA,Chatham County,500.0,1.4285714285714286,714.2857142857143,289771.0,500.0,1.0,1.4285714285714286,0.0017255004814146343,350.0
4337,GA,Dougherty County,0.0,1.4285714285714286,0.0,89537.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,Anasco,0.0,1.4285714285714286,0.0,26645.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,Fajardo,0.0,1.4285714285714286,0.0,33408.0,0.0,2.0,2.857142857142857,0.0,0.0
4337,PR,Guayama,0.0,1.4285714285714286,0.0,39225.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,Humacao,0.0,1.4285714285714286,0.0,53084.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,Juana Diaz,0.0,1.4285714285714286,0.0,47816.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,Las Piedras,0.0,1.4285714285714286,0.0,36239.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,PR,San Juan,0.0,1.4285714285714286,0.0,356296.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,SC,Cherokee County,0.0,1.4285714285714286,0.0,56974.0,0.0,1.0,1.4285714285714286,0.0,0.0
4337,TX,Blanco County,500.0,1.4285714285714286,714.2857142857143,11473.0,500.0,1.0,1.4285714285714286,0.043580580493332174,350.0
4337,TX,Burnet County,0.0,1.4285714285714286,0.0,46592.0,0.0,1.0,1.4285714285714286,0.0,0.0
4338,FL,Volusia County,0.0,1.4285714285714286,0.0,538755.0,0.0,1.0,1.4285714285714286,0.0,0.0
4338,GA,Camden County,2317215.03,1.4285714285714286,3310307.1857142854,53211.0,478.17066240198096,4846.0,6922.857142857143,43.547669278908494,334.7194636813867
