state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
PR,Caguas,131805.0,42621.0,97671568.025,2291.6301359658387,39068627.21,916.6520543863354,1,[4339],0.0,0,0.0,0.0
PR,Camuy,33505.0,10439.0,24168722.7,2315.233518536258,9667489.08,926.0934074145033,1,[4339],0.0,0,0.0,0.0
PR,Canovanas,44034.0,16800.0,94625038.25000001,5632.4427529761915,37850015.300000004,2252.9771011904763,2,"[4336, 4339]",94625038.25000001,1,100.0,5632.4427529761915
PR,Carolina,160905.0,52065.0,74638809.075,1433.569750792279,29855523.63,573.4279003169115,1,[4339],0.0,0,0.0,0.0
PR,Catano,24532.0,7972.0,22528078.225,2825.9004296287007,9011231.29,1130.3601718514801,2,"[4336, 4339]",22528078.225,1,100.0,2825.9004296287007
PR,Cayey,43477.0,14482.0,53209837.25,3674.205030382544,21283934.9,1469.6820121530175,1,[4339],53209837.25,1,100.0,3674.205030382544
PR,Ceiba,11961.0,4091.0,14181535.175,3466.5204534343684,5672614.069999999,1386.6081813737471,1,[4339],14181535.175,1,100.0,3466.5204534343684
PR,Ciales,17539.0,6049.0,38111658.025000006,6300.489010580262,15244663.21,2520.1956042321044,1,[4339],38111658.025000006,1,100.0,6300.489010580262
PR,Cidra,41094.0,13318.0,45685720.05,3430.37393377384,18274288.02,1372.149573509536,1,[4339],45685720.05,1,100.0,3430.37393377384
PR,Coamo,36250.0,12203.0,42675174.55,3497.105183151684,17070069.82,1398.8420732606737,1,[4339],42675174.55,1,100.0,3497.105183151684
PR,Comerio,19502.0,6583.0,44327658.875,6733.65621677047,17731063.55,2693.462486708188,1,[4339],44327658.875,1,100.0,6733.65621677047
PR,Corozal,35371.0,11230.0,64071933.575,5705.425963935886,25628773.43,2282.1703855743544,1,[4339],64071933.575,1,100.0,5705.425963935886
PR,Culebra,1824.0,777.0,4122047.825,5305.0808558558565,1648819.13,2122.0323423423424,2,"[4336, 4339]",4122047.825,1,100.0,5305.0808558558565
PR,Dorado,36721.0,11503.0,43764101.9,3804.581578718595,17505640.759999998,1521.8326314874378,2,"[4336, 4339]",43764101.9,1,100.0,3804.581578718595
PR,Fajardo,33408.0,12071.0,22921832.7,1898.9174633418938,9168733.08,759.5669853367575,3,"[4336, 4337, 4339]",0.0,0,0.0,0.0
PR,Florida,12058.0,4183.0,16150752.025,3861.0451888596704,6460300.81,1544.4180755438679,1,[4339],16150752.025,1,100.0,3861.0451888596704
PR,Guanica,15372.0,5783.0,11135565.75,1925.5690385613004,4454226.3,770.2276154245201,1,[4339],0.0,0,0.0,0.0
PR,Guayama,39225.0,12803.0,64461069.500000015,5034.8410138248855,25784427.800000004,2013.9364055299543,2,"[4337, 4339]",64461069.500000015,1,100.0,5034.8410138248855
PR,Guayanilla,18798.0,6459.0,16545886.15,2561.679230531042,6618354.46,1024.6716922124167,1,[4339],16545886.15,1,100.0,2561.679230531042
PR,Guaynabo,91928.0,28010.0,55213430.650000006,1971.2042359871477,22085372.26,788.481694394859,1,[4339],0.0,0,0.0,0.0
PR,Gurabo,42119.0,12837.0,31508223.0,2454.4849263846695,12603289.2,981.7939705538677,1,[4339],0.0,0,0.0,0.0
PR,Hatillo,39540.0,11252.0,33355615.85,2964.4166237113404,13342246.34,1185.7666494845362,1,[4339],33355615.85,1,100.0,2964.4166237113404
PR,Hormigueros,16131.0,5116.0,6820513.75,1333.1731333072712,2728205.5,533.2692533229085,1,[4339],0.0,0,0.0,0.0
PR,Humacao,53084.0,18853.0,83064522.25,4405.904749907177,33225808.9,1762.3618999628704,2,"[4337, 4339]",83064522.25,1,100.0,4405.904749907177
PR,Isabela,43711.0,12659.0,33176349.2,2620.771719725097,13270539.68,1048.3086878900388,1,[4339],33176349.2,1,100.0,2620.771719725097
PR,Jayuya,15334.0,4927.0,23604811.05,4790.909488532576,9441924.42,1916.3637954130302,1,[4339],23604811.05,1,100.0,4790.909488532576
PR,Juana Diaz,47816.0,15698.0,56406583.75,3593.233771818066,22562633.5,1437.2935087272265,2,"[4337, 4339]",56406583.75,1,100.0,3593.233771818066
PR,Juncos,38064.0,13116.0,42797928.075,3263.032027676121,17119171.23,1305.2128110704484,1,[4339],42797928.075,1,100.0,3263.032027676121
PR,Lajas,24005.0,7558.0,11550763.900000002,1528.2831304577933,4620305.5600000005,611.3132521831172,1,[4339],0.0,0,0.0,0.0
PR,Lares,28822.0,8351.0,21321901.825000003,2553.215402347025,8528760.73,1021.2861609388098,1,[4339],21321901.825000003,1,100.0,2553.215402347025
PR,Las Marias,9181.0,2869.0,9447589.2,3292.9903102126173,3779035.68,1317.1961240850471,1,[4339],9447589.2,1,100.0,3292.9903102126173
PR,Las Piedras,36239.0,11984.0,39038187.025,3257.5256195761012,15615274.81,1303.0102478304407,2,"[4337, 4339]",39038187.025,1,100.0,3257.5256195761012
PR,Loiza,25441.0,8542.0,36300109.65,4249.603096464528,14520043.86,1699.8412385858112,2,"[4336, 4339]",36300109.65,1,100.0,4249.603096464528
PR,Luquillo,18432.0,6482.0,14420666.649999999,2224.724876581302,5768266.659999999,889.8899506325207,2,"[4336, 4339]",0.0,0,0.0,0.0
PR,Manati,40805.0,13648.0,41287845.1,3025.1938086166474,16515138.04,1210.0775234466587,1,[4339],41287845.1,1,100.0,3025.1938086166474
PR,Maricao,5156.0,1670.0,6919392.375,4143.348727544911,2767756.95,1657.3394910179643,1,[4339],6919392.375,1,100.0,4143.348727544911
PR,Maunabo,11050.0,3697.0,21968841.525,5942.342852312686,8787536.61,2376.9371409250743,1,[4339],21968841.525,1,100.0,5942.342852312686
PR,Mayaguez,77177.0,24702.0,46205547.325,1870.5184732005507,18482218.93,748.2073892802202,1,[4339],0.0,0,0.0,0.0
PR,Moca,38302.0,11159.0,34161082.225,3061.3031835289903,13664432.89,1224.521273411596,1,[4339],34161082.225,1,100.0,3061.3031835289903
PR,Morovis,29862.0,9802.0,57391254.55000001,5855.055554988779,22956501.820000004,2342.0222219955117,1,[4339],57391254.55000001,1,100.0,5855.055554988779
PR,Naguabo,24369.0,8155.0,37531414.6,4602.258074800736,15012565.840000002,1840.9032299202945,1,[4339],37531414.6,1,100.0,4602.258074800736
PR,Naranjito,29656.0,9647.0,58471889.45,6061.147449984452,23388755.78,2424.4589799937808,1,[4339],58471889.45,1,100.0,6061.147449984452
PR,Orocovis,22005.0,7799.0,48663863.275,6239.756798948583,19465545.31,2495.902719579433,1,[4339],48663863.275,1,100.0,6239.756798948583
PR,Patillas,16912.0,6012.0,28908951.3,4808.541467065868,11563580.52,1923.4165868263472,1,[4339],28908951.3,1,100.0,4808.541467065868
PR,Penuelas,21476.0,6390.0,20748308.475,3246.9966314553994,8299323.39,1298.7986525821595,1,[4339],20748308.475,1,100.0,3246.9966314553994
PR,Ponce,145596.0,49843.0,128715662.925,2582.42206378027,51486265.17,1032.968825512108,1,[4339],128715662.925,1,100.0,2582.42206378027
PR,Quebradillas,24271.0,7884.0,14598630.5,1851.6781456113647,5839452.2,740.6712582445459,1,[4339],0.0,0,0.0,0.0
PR,Rincon,15242.0,4660.0,11417030.4,2450.0065236051505,4566812.16,980.0026094420601,1,[4339],0.0,0,0.0,0.0
PR,Rio Grande,49084.0,15927.0,47450604.125,2979.255611540152,18980241.65,1191.7022446160606,1,[4339],47450604.125,1,100.0,2979.255611540152
PR,Sabana Grande,23498.0,7697.0,6699502.850000001,870.4044238014811,2679801.14,348.16176952059243,1,[4339],0.0,0,0.0,0.0
PR,Salinas,27375.0,10039.0,58234515.85,5800.828354417771,23293806.34,2320.3313417671084,1,[4339],58234515.85,1,100.0,5800.828354417771
PR,San German,32917.0,10272.0,12036672.725,1171.7944631035825,4814669.09,468.71778524143303,1,[4339],0.0,0,0.0,0.0
PR,San Juan,356296.0,121922.0,166218520.275,1363.3185173717623,66487408.11,545.327406948705,2,"[4337, 4339]",0.0,0,0.0,0.0
PR,San Lorenzo,38697.0,11941.0,32644058.05,2733.779252156436,13057623.22,1093.5117008625743,1,[4339],32644058.05,1,100.0,2733.779252156436
PR,San Sebastian,40267.0,11709.0,28930917.8,2470.8273806473653,11572367.12,988.330952258946,1,[4339],0.0,0,0.0,0.0
PR,Santa Isabel,21161.0,7578.0,28065373.15,3703.533010029031,11226149.26,1481.4132040116126,1,[4339],28065373.15,1,100.0,3703.533010029031
PR,Toa Alta,69211.0,20926.0,70771951.275,3382.0104785912267,28308780.51,1352.8041914364906,1,[4339],70771951.275,1,100.0,3382.0104785912267
PR,Toa Baja,79330.0,28208.0,139157098.82500002,4933.249391130176,55662839.53,1973.2997564520704,2,"[4336, 4339]",139157098.82500002,1,100.0,4933.249391130176
PR,Trujillo Alto,69817.0,20787.0,41147636.1,1979.4889161495166,16459054.44,791.7955664598065,1,[4339],0.0,0,0.0,0.0
PR,Utuado,29601.0,10051.0,46983944.6,4674.554233409611,18793577.84,1869.8216933638444,1,[4339],46983944.6,1,100.0,4674.554233409611
PR,Vega Alta,36691.0,10823.0,46695427.075,4314.46244802735,18678170.83,1725.7849792109396,1,[4339],46695427.075,1,100.0,4314.46244802735
PR,Vega Baja,55857.0,19532.0,71760921.29999998,3674.01808826541,28704368.52,1469.6072353061643,2,"[4336, 4339]",71760921.29999998,1,100.0,3674.01808826541
PR,Vieques,8577.0,3021.0,26555433.299999997,8790.279145978151,10622173.319999998,3516.111658391261,2,"[4336, 4339]",26555433.299999997,1,100.0,8790.279145978151
PR,Villalba,23139.0,7704.0,27335292.85,3548.194814382139,10934117.14,1419.2779257528557,1,[4339],27335292.85,1,100.0,3548.194814382139
PR,Yabucoa,32375.0,10878.0,61984764.7,5698.176567383711,24793905.88,2279.270626953484,1,[4339],61984764.7,1,100.0,5698.176567383711
PR,Yauco,36307.0,13226.0,22699279.225,1716.2618497656133,9079711.69,686.5047399062453,1,[4339],0.0,0,0.0,0.0
SC,Cherokee County,56974.0,1.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Aransas County,25421.0,13059.0,43611157.08571429,3339.547981140538,30527809.96,2337.683586798377,1,[4332],43611157.08571429,1,100.0,3339.547981140538
TX,Austin County,29729.0,834.0,1722962.7,2065.9025179856117,1206073.89,1446.131762589928,1,[4332],0.0,0,0.0,0.0
TX,Bastrop County,84624.0,765.0,1144866.442857143,1496.5574416433242,801406.51,1047.5902091503267,1,[4332],0.0,0,0.0,0.0
TX,Bee County,32598.0,2280.0,1224189.3571428573,536.9251566416041,856932.55,375.84760964912283,1,[4332],0.0,0,0.0,0.0
TX,Blanco County,11473.0,1.0,714.2857142857143,714.2857142857143,500.0,500.0,1,[4337],0.0,0,0.0,0.0
TX,Brazoria County,362261.0,39903.0,107270550.9714286,2688.282860221753,75089385.68,1881.7980021552266,1,[4332],107270550.9714286,1,100.0,2688.282860221753
TX,Burnet County,46592.0,1.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Caldwell County,42302.0,241.0,423322.8000000001,1756.5261410788387,296325.96,1229.5682987551868,1,[4332],0.0,0,0.0,0.0
TX,Calhoun County,21716.0,6213.0,7039526.128571428,1133.0317284035777,4927668.29,793.1222098825044,1,[4332],0.0,0,0.0,0.0
TX,Chambers County,41249.0,6016.0,37037664.571428575,6156.526690729484,25926365.200000003,4309.568683510639,1,[4332],37037664.571428575,1,100.0,6156.526690729484
TX,Colorado County,21301.0,1014.0,2386597.0142857144,2353.645970695971,1670617.91,1647.5521794871795,1,[4332],0.0,0,0.0,0.0
TX,DeWitt County,20164.0,1405.0,1105044.085714286,786.50824605999,773530.8600000001,550.5557722419929,1,[4332],0.0,0,0.0,0.0
TX,Fayette County,25110.0,799.0,7930911.985714287,9926.04754156982,5551638.390000001,6948.233279098874,1,[4332],7930911.985714287,1,100.0,9926.04754156982
TX,Fort Bend County,768258.0,58179.0,139342422.8857143,2395.063904256077,97539696.02,1676.5447329792537,1,[4332],0.0,0,0.0,0.0
TX,Galveston County,334691.0,44551.0,155857807.14285713,3498.413215031248,109100465.0,2448.8892505218737,1,[4332],155857807.14285713,1,100.0,3498.413215031248
TX,Goliad County,7559.0,1131.0,985620.8285714284,871.459618542377,689934.58,610.021732979664,1,[4332],0.0,0,0.0,0.0
TX,Gonzales County,20743.0,606.0,430504.5571428572,710.4035596416785,301353.19,497.28249174917494,1,[4332],0.0,0,0.0,0.0
TX,Grimes County,27924.0,401.0,928138.8142857144,2314.5606341289636,649697.17,1620.1924438902745,1,[4332],0.0,0,0.0,0.0
TX,Hardin County,57194.0,10172.0,53038486.55714286,5214.165017414753,37126940.59,3649.915512190327,1,[4332],53038486.55714286,1,100.0,5214.165017414753
TX,Harris County,4655798.0,447076.0,1115168637.6714284,2494.36032726299,780618046.3699999,1746.052229084093,1,[4332],520541486.26857126,1,46.67827525669196,1164.3243794535408
TX,Jackson County,14798.0,2356.0,1024555.4285714286,434.87072520009707,717188.8,304.40950764006794,1,[4332],0.0,0,0.0,0.0
TX,Jasper County,35580.0,4278.0,6635545.828571429,1551.0859814332466,4644882.08,1085.7601870032727,1,[4332],0.0,0,0.0,0.0
TX,Jefferson County,255889.0,66942.0,257499130.5,3846.60049744555,180249391.35,2692.620348211885,1,[4332],257499130.5,1,100.0,3846.60049744555
TX,Karnes County,15590.0,383.0,360708.5571428571,941.7977993286087,252495.99,659.2584595300261,1,[4332],0.0,0,0.0,0.0
TX,Kleberg County,30756.0,1354.0,615123.6857142857,454.3010972779067,430586.58,318.01076809453474,1,[4332],0.0,0,0.0,0.0
TX,Lavaca County,20015.0,418.0,200756.11428571428,480.2777853725222,140529.28,336.19444976076556,1,[4332],0.0,0,0.0,0.0
